season_id,team_id,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus
21981,1610612737,39.146341463414636,82.55,0.4943500000000001,0.34146341463414637,1.375,0.4721666666666667,22.353658536585368,29.109756097560975,0.7707195121951219,12.0,,42.2,22.57894736842105,10.333333333333334,6.3076923076923075,17.5,27.617283950617285,100.98780487804878,0.5365853658536586
21981,1610612738,44.59756097560975,90.25,0.4828000000000001,0.5975609756097561,1.7777777777777777,0.3,22.158536585365855,29.963414634146343,0.7399756097560976,,,46.23809523809524,24.666666666666668,11.0,7.5,16.5,24.597560975609756,111.95121951219512,6.378048780487805
21981,1610612739,41.52439024390244,92.14285714285714,0.44914285714285707,0.3048780487804878,0.875,0.3,19.853658536585368,26.670731707317074,0.7444268292682926,19.0,,43.23809523809524,20.523809523809526,9.666666666666666,3.0,13.875,26.085365853658537,103.20731707317073,-8.512195121951219
21981,1610612741,41.08536585365854,82.84,0.48892,0.6585365853658537,2.6,0.24793750000000003,23.79268292682927,31.0609756097561,0.7643536585365854,15.75,25.666666666666668,45.12,23.92,6.133333333333334,6.2,19.789473684210527,24.5,106.6219512195122,-2.024390243902439
21981,1610612742,41.34146341463415,81.83333333333333,0.502,0.6707317073170732,2.6,0.4664,21.21951219512195,28.78048780487805,0.7364024390243902,11.0,19.0,38.714285714285715,26.142857142857142,5.666666666666667,3.8,16.0,26.75609756097561,104.57317073170732,-4.426829268292683
21981,1610612743,48.53658536585366,92.36363636363636,0.5157272727272727,0.4878048780487805,1.2857142857142858,0.375,28.914634146341463,36.30487804878049,0.795121951219512,,,43.0,29.333333333333332,,4.0,24.5,26.0,126.47560975609755,0.524390243902439
21981,1610612744,44.46341463414634,90.8,0.508,1.1097560975609757,4.5,0.0,20.841463414634145,29.048780487804876,0.7135365853658535,,,46.2,21.4,3.0,6.0,17.0,26.951219512195124,110.8780487804878,1.0365853658536586
21981,1610612745,42.73170731707317,88.0,0.49960000000000004,0.5975609756097561,2.25,0.3056666666666667,19.79268292682927,27.134146341463413,0.7289878048780488,19.0,30.0,46.6,24.75,5.0,4.25,17.75,22.91358024691358,105.85365853658537,-0.036585365853658534
21981,1610612746,43.31707317073171,81.9090909090909,0.5237272727272727,1.2073170731707317,3.5,0.214,20.646341463414632,28.414634146341463,0.727609756097561,14.0,25.0,39.72727272727273,22.272727272727273,9.0,2.888888888888889,21.166666666666668,28.695121951219512,108.48780487804878,-7.390243902439025
21981,1610612747,47.792682926829265,93.66666666666667,0.4985,0.15853658536585366,1.8333333333333333,0.2166,18.890243902439025,26.365853658536587,0.7179634146341465,,,43.833333333333336,27.5,11.0,5.8,17.0,24.353658536585368,114.63414634146342,4.865853658536586
21981,1610612749,43.21951219512195,86.03125,0.5085625,0.573170731707317,2.7058823529411766,0.341,21.402439024390244,28.426829268292682,0.7520853658536585,13.153846153846153,28.0,42.9375,26.125,9.692307692307692,5.476190476190476,18.58823529411765,27.646341463414632,108.41463414634147,5.475609756097561
21981,1610612751,42.69512195121951,86.1304347826087,0.4984782608695652,0.36585365853658536,2.875,0.14871428571428572,20.902439024390244,28.70731707317073,0.7299268292682928,13.25,25.0,42.75,25.82608695652174,9.75,4.888888888888889,20.77777777777778,27.9390243902439,106.65853658536585,0.6829268292682927
21981,1610612752,42.96341463414634,88.61538461538461,0.5067307692307693,0.7073170731707317,2.857142857142857,0.2793333333333333,19.548780487804876,26.451219512195124,0.7364756097560975,16.0,26.0,42.03846153846154,26.423076923076923,8.0,3.2222222222222223,21.11111111111111,26.79268292682927,106.1829268292683,-2.6707317073170733
21981,1610612754,40.63414634146341,88.23076923076923,0.4486153846153846,1.2560975609756098,5.444444444444445,0.15322222222222223,19.658536585365855,26.536585365853657,0.7379146341463412,,,44.625,21.4,7.25,5.916666666666667,13.6,24.51219512195122,102.1829268292683,-1.8658536585365855
21981,1610612755,44.09756097560975,85.04878048780488,0.5192439024390243,0.5,1.7066666666666668,0.23618518518518516,22.51219512195122,30.0,0.7514756097560978,12.777777777777779,21.0,41.53658536585366,27.853658536585368,11.722222222222221,7.512195121951219,17.98611111111111,26.634146341463413,111.20731707317073,5.7317073170731705
21981,1610612756,42.78048780487805,87.375,0.46425000000000005,0.6585365853658537,2.75,0.375,19.9390243902439,26.353658536585368,0.7550975609756098,17.0,24.0,45.0,22.25,6.0,6.333333333333333,21.0,24.604938271604937,106.15853658536585,3.451219512195122
21981,1610612757,44.25609756097561,84.14285714285714,0.5278571428571429,0.35365853658536583,0.3333333333333333,0.0,20.963414634146343,29.073170731707318,0.7252560975609756,10.0,,40.0,23.857142857142858,8.0,3.25,13.0,24.29268292682927,109.82926829268293,0.5975609756097561
21981,1610612758,43.951219512195124,89.27272727272727,0.5245454545454545,0.3170731707317073,2.0,0.1665,18.914634146341463,26.317073170731707,0.7175975609756097,,,40.72727272727273,27.272727272727273,9.285714285714286,4.545454545454546,21.0,28.85,107.13414634146342,-3.097560975609756
21981,1610612759,45.09756097560975,100.6,0.48260000000000003,0.7804878048780488,4.0,0.2776666666666667,22.097560975609756,28.475609756097562,0.7731463414634145,14.5,34.0,49.6,26.0,7.0,7.5,15.75,27.19753086419753,113.07317073170732,2.3048780487804876
21981,1610612760,42.75609756097561,83.77777777777777,0.4804444444444445,0.4634146341463415,3.3333333333333335,0.1665,21.28048780487805,28.74390243902439,0.7394268292682926,9.0,21.0,42.55555555555556,23.444444444444443,7.0,3.8,15.6,24.9390243902439,107.2560975609756,4.134146341463414
